               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069376,            0.025291,                   0,             0.37972,             0.38059,             0.29092,             0.11913,             0.06259,           0.0097612,                   0,           0.0033162,           0.0033162,            0.070154
                   1,            0.040679,            0.017373,                   0,             0.55208,             0.44068,             0.38875,             0.16408,            0.065267,           0.0090299,                   0,           0.0066394,           0.0066394,            0.040144
                   2,            0.035999,            0.015811,                   0,             0.23924,             0.24961,             0.12211,            0.033517,            0.074594,            0.010055,                   0,           0.0099525,           0.0099525,            0.010123
                   3,             0.03481,            0.016057,                   0,             0.40089,             0.36518,             0.23674,            0.099554,             0.06934,            0.010415,                   0,           0.0099543,           0.0099543,           0.0099543
                   4,            0.031788,             0.01513,                   0,             0.62792,             0.40824,             0.40452,             0.21326,            0.066581,           0.0094157,                   0,           0.0099543,           0.0099543,           0.0099543
                   5,            0.029176,            0.014131,                   0,             0.67601,             0.44376,             0.47595,             0.26347,            0.065105,           0.0088638,                   0,           0.0099391,           0.0099391,           0.0099391
                   6,            0.027474,            0.013772,                   0,             0.66895,             0.43297,             0.47573,             0.26167,            0.061759,           0.0093026,                   0,           0.0099238,           0.0099238,           0.0099238
                   7,            0.026363,            0.012918,                   0,             0.66798,             0.45259,             0.51172,             0.30473,            0.061739,           0.0089475,                   0,           0.0099086,           0.0099086,           0.0099086
                   8,            0.024924,            0.012641,                   0,             0.70634,             0.40524,             0.45615,             0.26263,            0.063545,            0.010235,                   0,           0.0098934,           0.0098934,           0.0098934
                   9,            0.024741,            0.012305,                   0,             0.72255,             0.48228,             0.50956,             0.29598,            0.058242,           0.0096576,                   0,           0.0098782,           0.0098782,           0.0098782
                  10,            0.023764,            0.012199,                   0,             0.66237,             0.52598,             0.53443,             0.31164,            0.058381,           0.0091871,                   0,           0.0098629,           0.0098629,           0.0098629
                  11,            0.023436,            0.011782,                   0,             0.63909,               0.442,             0.46888,             0.29133,            0.060827,            0.010313,                   0,           0.0098477,           0.0098477,           0.0098477
                  12,            0.022519,            0.011501,                   0,             0.70854,             0.44992,             0.50166,             0.30705,            0.061596,           0.0098189,                   0,           0.0098325,           0.0098325,           0.0098325
                  13,            0.022116,            0.011521,                   0,             0.65795,             0.47458,             0.51028,             0.28741,            0.055837,           0.0093244,                   0,           0.0098172,           0.0098172,           0.0098172
                  14,            0.021887,             0.01122,                   0,              0.6256,              0.5624,             0.57212,             0.34645,            0.053014,           0.0088098,                   0,            0.009802,            0.009802,            0.009802
                  15,            0.021238,            0.011029,                   0,             0.70901,             0.48844,             0.54165,             0.32168,            0.057614,           0.0090473,                   0,           0.0097868,           0.0097868,           0.0097868
                  16,            0.021368,            0.010843,                   0,             0.59306,             0.51464,             0.50556,             0.30151,            0.053824,           0.0096246,                   0,           0.0097715,           0.0097715,           0.0097715
                  17,            0.020635,            0.010433,                   0,             0.60393,             0.46995,             0.47465,             0.27711,            0.058616,           0.0097717,                   0,           0.0097563,           0.0097563,           0.0097563
